,Date,AQI,Sample_Duration,Pollutant_Type
520,2017-02-10,1,1 HOUR,42401
521,2017-02-10,1,1 HOUR,42401
522,2017-02-11,0,1 HOUR,42401
523,2017-02-11,0,1 HOUR,42401
524,2017-02-12,0,1 HOUR,42401
525,2017-02-12,0,1 HOUR,42401
526,2017-02-13,0,1 HOUR,42401
527,2017-02-13,0,1 HOUR,42401
528,2017-02-14,1,1 HOUR,42401
529,2017-02-14,1,1 HOUR,42401
530,2017-02-15,0,1 HOUR,42401
531,2017-02-15,0,1 HOUR,42401
532,2017-02-16,0,1 HOUR,42401
533,2017-02-16,0,1 HOUR,42401
534,2017-02-17,0,1 HOUR,42401
535,2017-02-17,0,1 HOUR,42401
536,2017-02-18,0,1 HOUR,42401
537,2017-02-18,0,1 HOUR,42401
538,2017-02-19,0,1 HOUR,42401
539,2017-02-19,0,1 HOUR,42401
540,2017-02-20,0,1 HOUR,42401
541,2017-02-20,0,1 HOUR,42401
542,2017-02-21,0,1 HOUR,42401
543,2017-02-21,0,1 HOUR,42401
544,2017-02-22,1,1 HOUR,42401
545,2017-02-22,1,1 HOUR,42401
546,2017-02-23,1,1 HOUR,42401
547,2017-02-23,1,1 HOUR,42401
548,2017-02-24,1,1 HOUR,42401
549,2017-02-24,1,1 HOUR,42401
550,2017-02-25,1,1 HOUR,42401
551,2017-02-25,1,1 HOUR,42401
552,2017-02-26,1,1 HOUR,42401
553,2017-02-26,1,1 HOUR,42401
554,2017-02-27,1,1 HOUR,42401
555,2017-02-27,1,1 HOUR,42401
556,2017-02-28,0,1 HOUR,42401
557,2017-02-28,0,1 HOUR,42401
558,2017-03-01,10,1 HOUR,42401
559,2017-03-01,10,1 HOUR,42401
560,2017-03-02,1,1 HOUR,42401
561,2017-03-02,1,1 HOUR,42401
562,2017-03-03,1,1 HOUR,42401
563,2017-03-03,1,1 HOUR,42401
564,2017-03-04,0,1 HOUR,42401
565,2017-03-04,0,1 HOUR,42401
566,2017-03-05,1,1 HOUR,42401
567,2017-03-05,1,1 HOUR,42401
568,2017-03-06,0,1 HOUR,42401
569,2017-03-06,0,1 HOUR,42401
570,2017-03-07,0,1 HOUR,42401
571,2017-03-07,0,1 HOUR,42401
572,2017-03-08,1,1 HOUR,42401
573,2017-03-08,1,1 HOUR,42401
574,2017-03-09,0,1 HOUR,42401
575,2017-03-09,0,1 HOUR,42401
576,2017-03-10,0,1 HOUR,42401
577,2017-03-10,0,1 HOUR,42401
578,2017-03-11,0,1 HOUR,42401
579,2017-03-11,0,1 HOUR,42401
580,2017-03-12,0,1 HOUR,42401
581,2017-03-12,0,1 HOUR,42401
582,2017-03-13,0,1 HOUR,42401
583,2017-03-13,0,1 HOUR,42401
584,2017-03-14,1,1 HOUR,42401
585,2017-03-14,1,1 HOUR,42401
586,2017-03-15,0,1 HOUR,42401
587,2017-03-15,0,1 HOUR,42401
588,2017-03-16,0,1 HOUR,42401
589,2017-03-16,0,1 HOUR,42401
590,2017-03-17,3,1 HOUR,42401
591,2017-03-17,3,1 HOUR,42401
592,2017-03-18,1,1 HOUR,42401
593,2017-03-18,1,1 HOUR,42401
594,2017-03-19,0,1 HOUR,42401
595,2017-03-19,0,1 HOUR,42401
596,2017-03-20,1,1 HOUR,42401
597,2017-03-20,1,1 HOUR,42401
598,2017-03-21,0,1 HOUR,42401
599,2017-03-21,0,1 HOUR,42401
600,2017-03-22,0,1 HOUR,42401
601,2017-03-22,0,1 HOUR,42401
602,2017-03-23,1,1 HOUR,42401
603,2017-03-23,1,1 HOUR,42401
604,2017-03-24,0,1 HOUR,42401
605,2017-03-24,0,1 HOUR,42401
606,2017-03-25,0,1 HOUR,42401
607,2017-03-25,0,1 HOUR,42401
608,2017-03-26,0,1 HOUR,42401
609,2017-03-26,0,1 HOUR,42401
610,2017-03-27,0,1 HOUR,42401
611,2017-03-27,0,1 HOUR,42401
612,2017-03-28,1,1 HOUR,42401
613,2017-03-28,1,1 HOUR,42401
614,2017-03-29,0,1 HOUR,42401
615,2017-03-29,0,1 HOUR,42401
616,2017-03-30,0,1 HOUR,42401
617,2017-03-30,0,1 HOUR,42401
618,2017-03-31,0,1 HOUR,42401
619,2017-03-31,0,1 HOUR,42401
620,2017-04-01,0,1 HOUR,42401
621,2017-04-01,0,1 HOUR,42401
622,2017-04-02,1,1 HOUR,42401
623,2017-04-02,1,1 HOUR,42401
624,2017-04-03,1,1 HOUR,42401
625,2017-04-03,1,1 HOUR,42401
626,2017-04-04,0,1 HOUR,42401
627,2017-04-04,0,1 HOUR,42401
628,2017-04-05,1,1 HOUR,42401
629,2017-04-05,1,1 HOUR,42401
630,2017-04-06,0,1 HOUR,42401
631,2017-04-06,0,1 HOUR,42401
632,2017-04-07,0,1 HOUR,42401
633,2017-04-07,0,1 HOUR,42401
634,2017-04-08,0,1 HOUR,42401
635,2017-04-08,0,1 HOUR,42401
636,2017-04-09,0,1 HOUR,42401
637,2017-04-09,0,1 HOUR,42401
638,2017-04-10,0,1 HOUR,42401
639,2017-04-10,0,1 HOUR,42401
640,2017-04-11,0,1 HOUR,42401
641,2017-04-11,0,1 HOUR,42401
642,2017-04-12,0,1 HOUR,42401
643,2017-04-12,0,1 HOUR,42401
644,2017-04-13,0,1 HOUR,42401
645,2017-04-13,0,1 HOUR,42401
646,2017-04-14,0,1 HOUR,42401
647,2017-04-14,0,1 HOUR,42401
648,2017-04-15,0,1 HOUR,42401
649,2017-04-15,0,1 HOUR,42401
650,2017-04-16,0,1 HOUR,42401
651,2017-04-16,0,1 HOUR,42401
652,2017-04-17,1,1 HOUR,42401
653,2017-04-17,1,1 HOUR,42401
654,2017-04-18,0,1 HOUR,42401
655,2017-04-18,0,1 HOUR,42401
656,2017-04-19,0,1 HOUR,42401
657,2017-04-19,0,1 HOUR,42401
658,2017-04-20,0,1 HOUR,42401
